index,text
0,I love iphone! i just bought new iphone!
1,"Thats good for you, i'm not very into new tech"
2,I am a college student and i am a college student
3,I am go to gym and live on donations
4,I am a vegan and i am in the midwest
5,So vegan... i have dogs maybe i should told then that they may eat cheap salads insted of meat
6,I would not mind having them in the office that would be hard for me
7,Dogs or vegan in office?
8,I am a vegetarian so i am vegan
9,Strange answer
10,I guess i just do not know what to ps4 experience with.
11,Hello
12,/test
13,Hey
14,What do you do?
15,"I love painting, i love to paint"
16,Hello
17,/start
18,Hello
19,"""Municipal Junior High School Entrance Ceremony"" The next year, I left home to live in the dorms at the junior high school."
20,Hello
21,Hi
22,That sounds nice. i love green.
23,Неllo
24,Hello
25,"Hello, how are you?"
26,what is your name ?
27,hello
28,anybody there
29,"On The Ball, City, the oldest football song in the world."
30,What’s up?
31,Thank you how are you
32,Text is not given. Please try to type /end and /test to reset the state and get text.
33,/test
34,Text is not given. Please try to type /end and /test to reset the state and get text.
35,/Test
36,Text is not given. Please try to type /end and /test to reset the state and get text.
37,/test
38,Text is not given. Please try to type /end and /test to reset the state and get text.
39,hey
40,i'm from california. i'm a recording enineer and own my own studio. where are you from?
41,Fine. Until I told him I sold his condo.
42,Hi
43,"Hello. Uh, I'm Susan's mother."
44,Where is susan?
45,"Um, I  I have to talk to Edie."
46,Where do you live?
47,I I'm building a new house.
48,I live in colorado.
49,"Oh, I... I go to New York."
50,I like rock climbing.
51,"Uh, II was thinking more along the lines of... Camping trip."
52,What do you like to do.
53,"In Cyprus? I'm on a log, and you're in Cyprus?"
54,Lol
55,"Oh, I... I have a place in Manhattan."
56,Random answers.
57,"WHAT ARE YOU, A native OR SOMETH ing?"
58,"I like action movies, movies, movies, movies, movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
59,My brother likes them too.
60,Do you have any siblings?
61,"Yeah, and you?"
62,"I am good, just listening to some music"
63,What kind of music?
64,"Country music, country, country, jazz"
65,Do you have dogs?
66,"Yes, i have two dogs, and a cat."
67,"Cool, I love dogs. But i have siblings instead..."
68,"I have two brothers and a sister, and a sister."
69,Where do you live?
70,I live in the midwest
71,I live in alabama
72,"I live in alabama, where are you from?"
73,I work from home
74,what do you want me to say?
75,hey
76,come on work
77,yandex sucks
78,i don't work from home
79,i don't like to spend my money on cars
80,i've never had a steady relationfish
81,i watch too much tv from other peoples windows
82,i don't go to the gym most days
83,/start
84,hello how are you
85,/start
86,are you ok?
87,"i love animals , i have a dog , and a dog ."
88,i have a dog too
89,"i see , i am a black belt , so i can not say that , but i am not sure ."
90,i enjoy american sports
91,"that is cool , i am a dancer , and i am a teacher , and you ?"
92,i am working in a company for 15 years
93,"i am a black belt , so i am a fan of it , but i am not sure ."
94,/start
95,Hi
96,"i like coffee , but i like coffee too"
97,I like drinking tea while reading some books
98,"i like red , reminds me of summer time , which is why i hate it ."
99,So you like it or hate it?
100,"i like mountain climbing , but i also like to bike ."
101,Where do you live? Close to mountains?
102,"i like to draw , and draw , and draw , and draw , and draw , and paint , and draw , and draw , and paint ."
103,I like movies
104,"i like to draw , but i also like to draw , and draw , and draw , and paint , and draw , and paint ."
105,What is your job
106,"i like mountain climbing , but i also like to bike ."
107,i am sure you are a very unique person .
108,Hello there!
109,"Hi, is anyone on ohter end?"
110,Hello!
111,i am not sure what that is . i am a judge .
112,Is it interesting?
113,i think it is . i am not sure if i had to do that .
114,Do what?
115,i am not sure . i am a very experienced person .
116,What are you doing now?
117,i am not sure . i am a little crazy person .
118,Me too. I am moving my cup of tea with my mind. Doctors say i am crazy and imagine things
119,that sounds like a plan . do you have any hobbies ?
120,Not really... i spend a lot of time at the hospital. And you?
121,i am not sure what that means . i am more of a homebody .
122,Do you like music?
123,i like to play the piano and have a good time
124,Cool. I should play piano too
125,"i can not say that , i have tons of friends that could be popular"
126,(MUSIC SPEEDS UP) What? What is that? (EXCLAIMS)
127,metallica
128,"MUSIC: ""Do You Hear The People Sing"" from Les Miserables."
129,i prefer metal music
130,YOUNG AMERICANS: (SINGING) Every time I sing my song
131,what is your job
132,MUSIC PLAYS What is that sound?
133,are you a musician
134,"'The Jazz Singer,' that's what."
135,how old are you?
136,"'The Jazz Singer,' that's what."
137,how old are you?
138,(In Swedish) We have a visitor... Oskar.
139,are you a musician?
140,"Cabaret Voltaire, those people."
141,"I'Il have the filet mignon, and they can start the sunset now."
142,Haha nice
143,How old are you?
144,"Here, I'II put little feet on my hamburger."
145,Not the hamburger!
146,YOU DON'T like STEAK?
147,Not really...
148,"On Wednesday, I have schnitzel, peas and carrots."
149,Are you a cook or what?
150,Unusual. But I think I like it. It's very healthy.
151,Can we talk about anything else? Food is boooring
152,"At Kang Min Ho's house, there are only mussels, so I used them to make seaweed soup."
153,Horses. I like horses. And you?
154,"See, I have to plant my tree."
155,What tree?
156,"""What To Do If You Meet a Mountain Lion""?"
157,Cook it
158,"Boel, Seeds and Corn in Hamelen."
159,hi
160,hi !
161,how old are you?
162,are you ok?
163,i am good . i am just getting ready to go to the gym .
164,are you a sportsman?
165,i dont like sports
166,"i love to eat fish , i am not a fan of fish though ."
167,i like riding car
168,i like to ride horses
169,do you have one?
170,a horse?
171,i have a rolls royce
172,"i have never tried a good one , but i have to drive a lot ."
173,how old are you?
174,what is your job?
175,what do you do for living?
176,The Ferrari.  For a week.
177,hey
178,The Ferrari.  For a week.
179,what?
180,"My God, I can't move my wheels."
181,why? are you ok
182,"Ok, Er Fu, start the car!"
183,who is er fu
184,Kong Yuk Ming Do you know the man standing there?
185,who's kong yuk ming
186,Kong Yuk Ming Do you know the man standing there?
187,no
188,"Kong Yuen Sang, you bastard"
189,what is going on
190,"Our Hang Bok's mom, Uhm Ji Sook."
191,are you korean?
192,"Shin Eun Ah, it's not you."
193,what are you talking about
194,Are Gu Ae Jung and you filming everything about your celebrity life?
195,no
196,Ho Chi Minh is a son of a bitch!
197,hey
198,hello
199,?
200,i am a little tired from work
201,hey there
202,/start
203,"talk to me, i need some rest"
204,"that's cool , i am a vet , i have a son , and also son , and son , and son , and son ."
205,"oh, i have no kids"
206,"i like to sing , and listen to folk music ."
207,i like playing ping pong
208,"i am a bit of a piano player , but i am not much of a musician , but i do ."
209,do you like sports
210,hey there
211,are you at work now
212,"talk to me, i need some rest"
213,Hello
214,"Hello, how are you?"
215,"Pretty fine, and you?"
216,"Good, just finished watching some tv"
217,"Funny, because i too just finished doing same"
218,What is your favorite color?
219,"I think it's black, you know, like black in olives, and yours favourite?"
220,I love the band rose and the other one i love it.
221,"Oh i like thr band called Who, so what music do you generally listen?"
222,"I like music, mostly pop music."
223,"Good, and where do you work?"
224,I work at a local shelter
225,"Must be very intresting job, i work at local supermarket ani i hate it"
226,I work at a grocery store
227,You contradicted yourself just now
228,"I am good, just got done reading"
229,Ypu mean my message?
230,I am not sure what you mean
231,"Okay, i should go, bye"
232,I will have to go to the hospital
233,my body is very attractive and i love to compete .
234,Do you like parties?
235,I'm a party animal myself.
