index,text
0,"Victor Frankenstein admired his masterpiece stretched out on the lab slab; it was almost human, OK, no conscience or social awareness, and not too bright, but a little plastic surgery to hide the scars and bolts, maybe a spray tan and a hairdo, and this guy could run for President!
"
1,"Among the more useful life lessons that jumping out of a perfectly good airplane teaches you are that money isn’t everything and that species chauvinism can really limit your opportunities for finding happiness, thought D.B. Cooper as he canoodled with his common-law Sasquatch wife D'un'h in their cozy lean-to deep in the sodden Cascade foothills.
"
2,"The collapse of the Taiping Rebellion and my subsequent wanderings to avoid the deadly clutches of vengeful imperial agents form the basis of this narrative, a narrative whose very existence and use of the first person pretty much ruin any sense of suspense that might have made it worth reading.
"
3,"As Dr. Steinbeck fought off the stone monstrosities that had ambushed the expedition crews deep within the Mayan pyramid, his lifelong friend, Dr. Williams, chose to heed his colleague’s wise words and “run while you still can”—a choice that ultimately left us stuck with him for a protagonist rather than the infinitely more intriguing late Dr. Steinbeck.
"
4,"Despite an exhaustive search, rescuers were unable to locate young Christopher Robin in the Hundred Acre Wood before hypothermia took him, and the animals he once called friends descended upon his corpse like a silly old bear upon a pot of hunny.
"
5,"Mary savored her stew, enjoying every last warm, flavorful bite, each one reminding her of her little lamb, Coco, and the way he would hop alongside her joyfully as they walked down the lane . . . speaking of Coco, where was he, anyways?
"
6,"“Ding dong, the witch is dead, ding dong, the witch is dead, ding . . . “ before I could tenor the next “dong” the black cat that had been sitting on the unmarked grave fixated me with a strange look and a sudden burst of sparkles came over me and changed me from a villager to a green frog, and now I spend my days sitting on the edge of the duck pond in which we drowned the witch, all alone and afraid a Frenchman would come along and fancy my little legs.
"
7,"As Snow White, the fairest of them all, rushes into the forest to escape being killed by her evil stepmother, she is about to be the most unfortunate of them all because now she is trapped in a miniature home as the pseudo-mother to seven man children.
"
8,"The Big Joe Palooka murder wasn’t just another killing, another homicide, another manslaughter, another slaying, another hit, another whack, another rubbing-out, another bumping-off, another assassination, another liquidation, another extermination, another execution—but it was nothing new for Johnny Synonymous, Obsessive-Compulsive Crime Fighter.
"
9,"""Irony,” bombasted Inspector Simons, ""is when someone believes themselves more clever than anyone else in the room, but in fact they are careless, and foolish, like the murderer— MATILDA DANNER—yes, Matilda, YOU killed—wait, um . . . where's Matilda?""
"
10,"The cat purred like a Geiger counter beside the fireplace which crackled like gunfire (which reminded Detective Greenwich of his service in The Ukraine and The Latvia), this feline being the only witness to the murder of the wet nurse and, unless purring counts, he wasn't talking.
"
