,0
0,"Not more than five days after she had despatched an urgent missive to her brother, the Most Honourable the Marquis of Alverstoke, requesting him to visit her at his earliest convenience, the widowed Lady Buxted was relieved to learn from her youngest daughter that Uncle Vernon had just driven up to the house, wearing a coat with dozens of capes, and looking as fine as fivepence."
1,"When I finally caught up with Abraham Trahearne, he was drinking beer with an alcoholic bulldog named Fireball Roberts in a ramshackle joint just outside of Sonoma, California, drinking the heart right out of a fine spring afternoon."
2,"Some years in Portland, Oregon, winter is a bully, spitting sleet and spewing snow in fits and starts as it violently wrestles days from spring, claiming some archaic right to remain king of the seasons - ultimately the vain attempt of another pretender."
3,BEFORE ANYONE SAYS SOMETHING BAD ABOUT OCs...  This story only contains a single OC through the whole fic. Don't THINK this OC came out of nowhere because there is a prequel to this fic so my OC and Lucario could be developed (if you want to read it)
4,"You will criticize me, reader, for writing in a style six hundred years removed from the events I describe, but you came to me for explanation of those days of transformation which left your world the world it is, and since it was the philosophy of the Eighteenth Century, heavy with optimism and ambition, whose abrupt revival birthed the recent revolution, so it is only in the language of the Enlightenment, rich with opinion and sentiment, that those days can be described."
5,"About thirty years ago Miss Maria Ward, of Huntingdon, with only seven thousand pounds, had the good luck to captivate Sir Thomas Bertram, of Mansfield Park, in the county of Northampton, and to be thereby raised to the rank of a baronet’s lady, with all the comforts and consequences of an handsome house and large income."
6,"I can feel the heat closing in, feel them out there making their moves, setting up their devil doll stool pigeons, crooning over my spoon and dropper I throw away at Washington Square Station, vault a turnstile and two flights down the iron stairs, catch an uptown A train ..."
7,It seemed like half the band was already at Keith’s house -- or at least they were all in the back yard when Hunk followed the paper lanterns and spooky soundtrack down the path around the side of the house.
8,"I remember the cries of Caesar's war-horns chasing us over the darkened fields of Latium - their yearning, keening howls, like animals on heat - and how when they stopped there was only the slither of our shoes on the icy road and the urgent panting of our breath."
9,"The carriage gave another lurch, and Maria Merryweather, Miss Heliotrope, and Wiggins once more fell into each other's arms, sighed, gasped, righted themselves, and fixed their attention upon those objects which were for each of them at this trying moment the source of courage and strength."
10,"It was the morning of the day on which I was  slated to pop down to my Aunt Agatha's place  at Woollam Chersey in the county of Herts for  a visit of three solid weeks; and. as I seated myself  at the breakfast table, I don't mind confessing that the heart was singularly heavy."
11,"In the bosom of one of those spacious coves which indent the eastern shore of the Hudson, at that broad expansion of the river denominated by the ancient Dutch navigators the Tappan Zee, and where they always prudently shortened sail and implored the protection of St. Nicholas when they crossed, there lies a small market town or rural port, which by some is called Greensburgh, but which is more generally and properly known by the name of Tarry Town."
12,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ‘and what is the use of a book,’ thought Alice ‘without pictures or conversations?’"
13,"When the phone rang I was in the kitchen, boiling a potful of spaghetti and whistling along to an FM broadcast of the overture to Rossini's The Thieving Magpie, which has to be the perfect music for cooking pasta."
14,"I’m sitting on the couch in the living room of my house in the Hollywood Hills. It’s a clear, crisp January day, and from my vantage point, I can see the beautiful expanse known as the San Fernando Valley."
15,"Then, it was as though everything was stripped away: sensation, memory, self, even the notion of existence that underlies reality - all seemed to have vanished utterly, their passing marked only by the realisation that they had disappeared, before that too ceased to have any meaning, and for an indefinite, infinite instant, there was only the awareness of something; something that possessed no mind, no purpose and no thought, except the knowledge that it was."
16,"Pulp science fiction author Jeff Lint loomed large as an influence on my own work since I found a scarred copy of ""I Blame Ferns"" in a Charing Cross basement, an apparently baffled chef staring from the cover."
17,"The studio was filled with the rich odor of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn."
18,"In the prison under the castle Allaze, in the dark, moldy cells where the greatest criminals in Mellinor spent the remainder of their lives counting rocks to stave off madness, Eli Monpress was trying to wake up a door."
19,Hi my name is Ebony Dark’ness Dementia Raven Way and I have long ebony black hair (that’s how I got my name) with purple streaks and red tips that reaches my mid-back and icy blue eyes like limpid tears and a lot of people tell me I look like Amy Lee (AN: if u don’t know who she is get da hell out of here!).
20,"What’s the best way to keep microbiologists happy? Put them in a warm, dark place and feed them decomposing matter. This old joke is, of course, a terrible misrepresentation—most microbiologists I’ve polled prefer moderate lighting with fresh donuts and coffee—but the other half of the analogy works perfectly."
21,"I am doomed to remember a boy with a wrecked voice – not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother's death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."
22,"“When your mama was the geek, my dear dreamlets,” Papa would say, “she made the nipping off of noggins such a crystal mystery that the hens themselves yearned toward her, waltzing around her, hypnotized with longing.”"
23,"An abandoned auto court in the San Berdoo foothills; Buzz Meeks checked in with ninety-four thousand dollars, eighteen pounds of high-grade heroin, a 10-gauge pump, a .38 special, a .45 automatic and a switchblade he'd bought off a pachuco at the border - right before he spotted the car parked across the line: Mickey Cohen goons in an LAPD unmarked, Tijuana cops standing by to bootjack a piece of his goodies, dump his body in the San Ysidro River."
24,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn."
25,"Robert came to Wells because Wells was where one came to heal if one could ostensibly be considered upper class, and as an invalided Captain he rather thought he could, though he was far from the first person to suggest that Wells was Wells simply because the wealthy required somewhere to throw their money away and one well was as good as another when all was said and done."
26,"Gormenghast, that is, the main massing of the original stone, taken by itself would have displayed a certain ponderous architectural quality were it possible to have ignored the circumfusion of those mean dwellings that swarmed like an epidemic around its outer walls."
27,"If he hadn’t already been keenly aware of it, Sherlock Holmes would have known that his career was sliding slowly into oblivion by the way other people acted toward him as he walked through to his agent’s office."
28,"Light troops — an Eleven-Bravo light infantryman, according the United States Army's MOS (military occupational specialty) system—are supposed to be ""pretty"" spit-and-polish troops with spotless uniforms and clean-shaven faces, but First Sergeant Sam Driscoll wasn't one of those anymore, and hadn't been for some time."
29,"After the thing was all over, when peril had ceased to loom and happy endings had been distributed in heaping handfuls and we were driving home with our hats on the side of our heads, having shaken the dust of Steeple Bumpleigh from our tyres, I confessed to Jeeves that there had been moments during the recent proceedings when Bertram Wooster, though no weakling, had come very near to despair."
30,"It was in that year when the fashion in cruelty demanded not only the crucifixion of peasant children, but a similar fate for their household animals, that I first met Lucifer and was transported into Hell; for the Prince of Darkness wished to strike a bargain with me."
31,"At the time I first realized I might be fictional, my weekdays were spent at a publicly funded institution on the north side of Indianapolis called White River High School, where I was required to eat lunch at a particular time—between 12:37 P.M. and 1:14 P.M.—by forces so much larger than myself that I couldn't even being to identify them."
32,"In the dying days of the Gzilt civilisation, before its long-prepared-for elevation to something better and the celebrations to mark this momentous but joyful occasion, one of its last surviving ships encountered an alien vessel whose sole task was to deliver a very special party-goer to the festivities."
33,"And then, after walking all day through a golden haze of humid warmth that gathered about him like fine wet fleece, Valentine came to a great ridge of outcropping white stone overlooking the city of Pidruid."
34,"We have had some dramatic entrances and exits upon our small stage at Baker Street, but I cannot recollect anything more sudden and startling than the first appearance of Thorneycroft Huxtable, M.A., Ph.D., etc."
35,"Sing, goddess, of the anger of Achilleus, son of Peleus, the accursed anger which brought uncounted anguish on the Achaians and hurled down to Hades many mighty souls of heroes, making their bodies the prey to dogs and the birds' feasting: and this was the working of Zeus' will. "
36,"It was the pivotal teaching of Pluthero Quexos, the most celebrated dramatist of the Second Dominion, that in any fiction, no matter how ambitious its scope or profound its theme, there was only ever room for three players."
37,"It was no very unusual thing for Mr. Lestrade, of Scotland Yard, to look in upon us of an evening, and his visits were welcome to Sherlock Holmes, for they enabled him to keep in touch with all that was going on at the police headquarters."
38,"It started at one thirty on a cold Tuesday morning in January when Martin Turner, street performer and, in his own words, apprentice gigolo, tripped over a body in front of the West Portico of St. Paul’s at Covent Garden."
39,"Theo had been climbing since dawn; first on the steep roads and paths and sheep-tracks behind the city, then across slopes of shifting scree, and up at last on to the bare mountainside, keeping where he could to corries and crevices where the blue shadows pooled."
40,"You will criticize me, reader, for writing in a style six hundred years removed from the events I describe, but you came to me for explanation of those days of transformation which left your world the world it is, and since it was the philosophy of the Eighteenth Century, heavy with optimism and ambition, whose abrupt revival birthed the recent revolution, so it is only in the language of the Enlightenment, rich with opinion and sentiment, that those days can be described."
41,"It was in the year '95 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great university towns, and it was during this time that the small but instructive adventure which I am about to relate befell us."
42,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn."
43,"When I look at the massive manuscript volumes which contain our work for the year 1894, I confess that it is very difficult for me, out of such a wealth of material, to select the cases which are most interesting in themselves, and at the same time most conducive to a display of those peculiar powers for which my friend was famous."
44,"We were fairly accustomed to receive wierd telegrams at Baker Street, but I have a particular recollection of one which reached us on a gloomy February morning, some seven or eight years ago, and gave Mr. Sherlock Holmes a puzzled quarter of an hour."
45,"One summer afternoon Mrs. Oedipa Maas came home from a Tupperware party whose hostess had put perhaps too much kirsch in the fondue to find that she, Oedipa, had been named executor, or she supposed executrix, of the estate of one Pierce Inverarity, a California real estate mogul who had once lost two million dollars in his spare time but still had assets numerous and tangled enough to make the job of sorting it all out more than honorary."
46,"Somewhere in la Mancha, in a place whose name I do not care to remember, a gentleman lived not long ago, one of those who has a lance and ancient shield on a shelf and keeps a skinny nag and a greyhound for racing."
47,"Ages ago, Alex, Allen and Alva arrived at Antibes, and Alva allowing all, allowing anyone, against Alex's admonition, against Allen's angry assertion: another African amusement . . . anyhow, as all argued, an awesome African army assembled and arduously advanced against an African anthill, assiduously annihilating ant after ant, and afterward, Alex astonishingly accuses Albert as also accepting Africa's antipodal ant annexation."
